Data Counter, Data Time, Angle, Counter, Left Encoder Counts, Right Encoder Counts, Bumper Byte, Desired Heading
279, 8.748681, 30.549, 315.001, 26695, -5930, 00000000, 30.87315798401501
280, 8.779936, 30.549, 316.125, 26695, -5930, 00000000, 30.87315798401501
281, 8.811195, 30.549, 317.251, 26695, -5930, 00000000, 30.87315798401501
282, 8.842473, 30.549, 318.375, 26695, -5930, 00000000, 30.87315798401501
283, 8.873660, 30.549, 319.500, 26695, -5930, 00000000, 30.87315798401501
284, 8.904917, 30.549, 320.626, 26695, -5930, 00000000, 30.87315798401501
285, 8.936176, 30.549, 321.750, 26695, -5930, 00000000, 30.87315798401501
286, 8.967413, 30.549, 322.876, 26695, -5930, 00000000, 30.87315798401501
287, 8.998665, 30.549, 324.000, 26695, -5930, 00000000, 30.87315798401501
288, 9.029930, 30.549, 325.125, 26695, -5930, 00000000, 30.87315798401501
289, 9.061199, 30.549, 326.250, 26695, -5930, 00000000, 30.87315798401501
290, 9.092429, 30.549, 327.375, 26695, -5930, 00000000, 30.87315798401501
291, 9.123701, 30.549, 328.501, 26695, -5930, 00000000, 30.87315798401501
292, 9.154906, 30.549, -30.375, 26695, -5930, 00000000, 30.87315798401501
293, 9.186154, 30.549, -29.250, 26695, -5930, 00000000, 30.87315798401501
294, 9.217428, 30.549, -28.125, 26695, -5930, 00000000, 30.87315798401501
295, 9.248691, 30.549, -26.999, 26695, -5930, 00000000, 30.87315798401501
296, 9.279911, 30.549, -25.875, 26695, -5930, 00000000, 30.87315798401501
297, 9.311172, 30.549, -24.750, 26695, -5930, 00000000, 30.87315798401501
298, 9.342432, 30.549, -23.625, 26695, -5930, 00000000, 30.87315798401501
299, 9.373684, 30.549, -22.500, 26695, -5930, 00000000, 30.87315798401501
300, 9.404898, 30.549, -21.375, 26695, -5930, 00000000, 30.87315798401501
301, 9.436168, 30.549, -20.251, 26695, -5930, 00000000, 30.87315798401501
302, 9.467414, 30.549, -19.125, 26695, -5930, 00000000, 30.87315798401501
303, 9.498643, 30.549, -18.001, 26695, -5930, 00000000, 30.87315798401501
304, 9.529881, 30.549, -16.874, 26695, -5930, 00000000, 30.87315798401501
305, 9.561146, 30.549, -15.750, 26695, -5930, 00000000, 30.87315798401501
306, 9.592409, 30.549, -14.625, 26695, -5930, 00000000, 30.87315798401501
307, 9.623648, 30.549, -13.500, 26695, -5930, 00000000, 30.87315798401501
308, 9.654903, 30.549, -12.375, 26695, -5930, 00000000, 30.87315798401501
309, 9.686154, 30.549, -11.249, 26695, -5930, 00000000, 30.87315798401501
310, 9.717433, 30.549, -10.125, 26695, -5930, 00000000, 30.87315798401501
311, 9.748650, 30.549, -8.999, 26695, -5930, 00000000, 30.87315798401501
312, 9.779891, 30.549, -7.874, 26695, -5930, 00000000, 14.975948252752541
313, 9.811177, 30.549, -6.750, 26695, -5930, 00000000, 14.975948252752541
314, 9.842543, 30.658, -5.624, 26696, -5930, 00000000, 14.975948252752541
315, 9.873790, 30.332, -4.499, 26694, -5929, 00000000, 14.975948252752541
316, 9.905028, 29.899, -3.374, 26692, -5927, 00000000, 14.975948252752541
317, 9.936130, 29.249, -2.249, 26689, -5924, 00000000, 14.975948252752541
318, 9.967418, 28.381, -1.125, 26685, -5920, 00000000, 14.975948252752541
319, 9.998778, 27.514, 0.001, 26681, -5916, 00000000, 14.975948252752541
320, 10.029870, 26.647, 1.124, 26677, -5912, 00000000, 14.975948252752541
321, 10.061230, 25.780, 2.251, 26673, -5908, 00000000, 14.975948252752541
322, 10.092374, 24.805, 3.375, 26668, -5904, 00000000, 14.975948252752541
323, 10.123640, 23.937, 4.500, 26664, -5900, 00000000, 14.975948252752541
324, 10.154897, 23.070, 5.625, 26660, -5896, 00000000, 14.975948252752541
325, 10.186119, 22.203, 6.750, 26656, -5892, 00000000, 14.975948252752541
326, 10.217407, 21.336, 7.875, 26652, -5888, 00000000, 14.975948252752541
327, 10.248621, 20.469, 9.000, 26648, -5884, 00000000, 14.975948252752541
328, 10.279866, 19.602, 10.126, 26644, -5880, 00000000, 14.975948252752541
329, 10.311147, 18.735, 11.250, 26640, -5876, 00000000, 14.975948252752541
330, 10.342400, 17.976, 12.375, 26637, -5872, 00000000, 14.975948252752541
331, 10.373639, 17.434, 13.500, 26634, -5870, 00000000, 14.975948252752541
332, 10.404876, 16.892, 14.626, 26632, -5867, 00000000, 14.975948252752541
333, 10.436141, 16.459, 15.750, 26630, -5865, 00000000, 14.975948252752541
334, 10.467389, 16.025, 16.875, 26628, -5863, 00000000, 14.975948252752541
335, 10.498639, 15.700, 18.000, 26626, -5862, 00000000, 14.975948252752541
336, 10.529838, 15.266, 19.125, 26624, -5860, 00000000, 14.975948252752541
337, 10.561123, 14.833, 20.249, 26622, -5858, 00000000, 14.975948252752541
338, 10.592391, 14.616, 21.375, 26621, -5857, 00000000, 14.975948252752541
339, 10.623638, 14.508, 22.501, 26621, -5856, 00000000, 14.975948252752541
340, 10.654886, 14.508, 23.625, 26621, -5856, 00000000, 14.975948252752541
341, 10.686102, 14.508, 24.750, 26621, -5856, 00000000, 14.975948252752541
342, 10.717357, 14.508, 25.875, 26621, -5856, 00000000, 14.975948252752541
